username,repo_name,stars,repo_url
mrdoob,three.js,99300,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,26200,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22800,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,22600,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,19500,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,17700,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17100,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16200,https://github.com/aframevr/aframe
CesiumGS,cesium,12100,https://github.com/CesiumGS/cesium
blender,blender,11700,https://github.com/blender/blender
MonoGame,MonoGame,10900,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,10800,https://github.com/mapbox/mapbox-gl-js
isl-org,Open3D,10600,https://github.com/isl-org/Open3D
metafizzy,zdog,10200,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9500,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,8600,https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
FyroxEngine,Fyrox,7300,https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,7300,https://github.com/domlysz/BlenderGIS
google,model-viewer,6600,https://github.com/google/model-viewer
