username,repo_name,stars,repo_url
public-apis,public-apis,294000,https://github.com/public-apis/public-apis
neovim,neovim,77200,https://github.com/neovim/neovim
tiangolo,fastapi,71600,https://github.com/tiangolo/fastapi
strapi,strapi,60800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,60600,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,56300,https://github.com/ocornut/imgui
slatedocs,slate,35900,https://github.com/slatedocs/slate
Kong,insomnia,33300,https://github.com/Kong/insomnia
QuivrHQ,quivr,33200,https://github.com/QuivrHQ/quivr
trpc,trpc,32900,https://github.com/trpc/trpc
httpie,cli,32200,https://github.com/httpie/cli
ccxt,ccxt,31500,https://github.com/ccxt/ccxt
hasura,graphql-engine,30800,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30200,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27600,https://github.com/encode/django-rest-framework
YMFE,yapi,27100,https://github.com/YMFE/yapi
directus,directus,25600,https://github.com/directus/directus
littlecodersh,ItChat,25200,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,22400,https://github.com/PostgREST/postgrest
microsoft,api-guidelines,22400,https://github.com/microsoft/api-guidelines
