username,repo_name,stars,repo_url
jwasham,coding-interview-university,292000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,183000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,181000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,173000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,111000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,76400,https://github.com/krahets/hello-algo
kdn251,interviews,61900,https://github.com/kdn251/interviews
TheAlgorithms,Java,57000,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53900,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,47800,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46300,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33300,https://github.com/huihut/interview
halfrost,LeetCode-Go,32100,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31500,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29300,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28900,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23600,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22800,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22600,https://github.com/trekhleb/homemade-machine-learning
