username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/amphp/amp
danog,MadelineProto,2700,https://github.com/danog/MadelineProto
unreal4u,telegram-api,784,https://github.com/unreal4u/telegram-api
amphp,parallel,746,https://github.com/amphp/parallel
amphp,http-client,698,https://github.com/amphp/http-client
amphp,byte-stream,358,https://github.com/amphp/byte-stream
php-service-bus,service-bus,348,https://github.com/php-service-bus/service-bus
amphp,mysql,347,https://github.com/amphp/mysql
amphp,parallel-functions,266,https://github.com/amphp/parallel-functions
amphp,process,225,https://github.com/amphp/process
xtrime-ru,TelegramRSS,216,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,214,https://github.com/amphp/socket
amphp,sync,155,https://github.com/amphp/sync
amphp,redis,152,https://github.com/amphp/redis
amphp,dns,149,https://github.com/amphp/dns
amphp,websocket-client,139,https://github.com/amphp/websocket-client
kelunik,acme,120,https://github.com/kelunik/acme
amphp,websocket-server,113,https://github.com/amphp/websocket-server
amphp,serialization,105,https://github.com/amphp/serialization
amphp,cache,95,https://github.com/amphp/cache
