username,repo_name,stars,repo_url
flutter,flutter,162000,https://github.com/flutter/flutter
facebook,react-native,116000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,109000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,103000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,78100,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,51500,https://github.com/Solido/awesome-flutter
google,material-design-icons,49900,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,49300,https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,48700,https://github.com/tldr-pages/tldr
square,okhttp,45300,https://github.com/square/okhttp
android,architecture-samples,43900,https://github.com/android/architecture-samples
laurent22,joplin,43400,https://github.com/laurent22/joplin
square,retrofit,42700,https://github.com/square/retrofit
appwrite,appwrite,41400,https://github.com/appwrite/appwrite
dcloudio,uni-app,39500,https://github.com/dcloudio/uni-app
skylot,jadx,39500,https://github.com/skylot/jadx
fastlane,fastlane,38700,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37300,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34700,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34700,https://github.com/airbnb/lottie-android
