username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,109000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,94700,https://github.com/angular/angular
storybookjs,storybook,83000,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,62200,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50500,https://github.com/ionic-team/ionic-framework
prettier,prettier,48400,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,41100,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34600,https://github.com/SheetJS/sheetjs
angular,angular-cli,26600,https://github.com/angular/angular-cli
angular,components,24100,https://github.com/angular/components
NativeScript,NativeScript,23700,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23600,https://github.com/goldbergyoni/javascript-testing-best-practices
wailsapp,wails,22500,https://github.com/wailsapp/wails
nrwl,nx,22300,https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,22100,https://github.com/sudheerj/javascript-interview-questions
jhipster,generator-jhipster,21200,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,20800,https://github.com/pubkey/rxdb
teambit,bit,17600,https://github.com/teambit/bit
paperless-ngx,paperless-ngx,17200,https://github.com/paperless-ngx/paperless-ngx
sweetalert2,sweetalert2,16900,https://github.com/sweetalert2/sweetalert2
