username,repo_name,stars,repo_url
bregman-arie,devops-exercises,63900,https://github.com/bregman-arie/devops-exercises
ansible,ansible,61400,https://github.com/ansible/ansible
trailofbits,algo,28400,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,25900,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23100,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15400,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13500,https://github.com/ansible/awx
easzlab,kubeasz,10100,https://github.com/easzlab/kubeasz
semaphoreui,semaphore,9500,https://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,8100,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8100,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7800,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7700,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5800,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5300,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4500,https://github.com/clong/DetectionLab
ansible,molecule,3800,https://github.com/ansible/molecule
ChristianLempa,boilerplates,3700,https://github.com/ChristianLempa/boilerplates
dev-sec,ansible-collection-hardening,3700,https://github.com/dev-sec/ansible-collection-hardening
