username,repo_name,stars,repo_url
arendst,Tasmota,21400,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15900,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,14600,https://github.com/tinygo-org/tinygo
arduino,Arduino,14000,https://github.com/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12900,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,12700,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9700,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8800,https://github.com/hybridgroup/gobot
platformio,platformio-core,7600,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6600,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6400,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4800,https://github.com/olikraus/u8g2
justcallmekoko,ESP32Marauder,4700,https://github.com/justcallmekoko/ESP32Marauder
ClemensElflein,OpenMower,4400,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4300,https://github.com/Arduino-IRremote/Arduino-IRremote
omriharel,deej,4300,https://github.com/omriharel/deej
arduino,arduino-cli,4200,https://github.com/arduino/arduino-cli
hybridgroup,cylon,4200,https://github.com/hybridgroup/cylon
Serial-Studio,Serial-Studio,4100,https://github.com/Serial-Studio/Serial-Studio
