username,repo_name,stars,repo_url
sindresorhus,awesome,303000,https://github.com/sindresorhus/awesome
vinta,awesome-python,207000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,180000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,132000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,122000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,85600,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,84000,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,78100,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,71900,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,67600,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,64400,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,62400,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,56200,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,56000,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,54200,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,53600,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,51500,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49300,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,45900,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,45900,https://github.com/tiimgreen/github-cheat-sheet
