username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,149000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,76200,https://github.com/nvm-sh/nvm
junegunn,fzf,60300,https://github.com/junegunn/fzf
google,zx,41900,https://github.com/google/zx
starship,starship,41200,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,37800,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,36900,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36000,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35200,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31400,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29900,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,29100,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,24300,https://github.com/withfig/autocomplete
dylanaraps,neofetch,21200,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,20800,https://github.com/kingToolbox/WindTerm
asdf-vm,asdf,20700,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,19200,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,19100,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,18400,https://github.com/Nyr/openvpn-install
atuinsh,atuin,18000,https://github.com/atuinsh/atuin
