username,repo_name,stars,repo_url
ccxt,ccxt,31500,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,25000,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,24900,https://github.com/discordjs/discord.js
wechaty,wechaty,19200,https://github.com/wechaty/wechaty
RasaHQ,rasa,18000,https://github.com/RasaHQ/rasa
hubotio,hubot,16600,https://github.com/hubotio/hubot
InstaPy,InstaPy,16400,https://github.com/InstaPy/InstaPy
leon-ai,leon,14600,https://github.com/leon-ai/leon
Rapptz,discord.py,14300,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14000,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,13900,https://github.com/gunthercox/ChatterBot
pedroslopez,whatsapp-web.js,13800,https://github.com/pedroslopez/whatsapp-web.js
lss233,chatgpt-mirai-qq-bot,12200,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11400,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10200,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9900,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8000,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,7800,https://github.com/telegraf/telegraf
microsoft,ailab,7600,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7400,https://github.com/microsoft/botframework-sdk
