username,repo_name,stars,repo_url
CyC2018,CS-Notes,173000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,172000,https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,56000,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,53900,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,47800,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,43300,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,37500,https://github.com/Light-City/CPlusPlusThings
huihut,interview,33300,https://github.com/huihut/interview
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,30000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,29300,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,29200,https://github.com/doocs/leetcode
microsoft,calculator,29000,https://github.com/microsoft/calculator
aseprite,aseprite,26900,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,24000,https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,23200,https://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,22500,https://github.com/gabime/spdlog
ethereum,solidity,22400,https://github.com/ethereum/solidity
microsoft,vcpkg,21800,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,19500,https://github.com/ssloy/tinyrenderer
