username,repo_name,stars,repo_url
Genymobile,scrcpy,103000,https://github.com/Genymobile/scrcpy
neovim,neovim,77200,https://github.com/neovim/neovim
obsproject,obs-studio,56000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,56000,https://github.com/fffaraz/awesome-cpp
git,git,50300,https://github.com/git/git
FFmpeg,FFmpeg,42800,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,39700,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,35100,https://github.com/vim/vim
curl,curl,34400,https://github.com/curl/curl
huihut,interview,33300,https://github.com/huihut/interview
mpv-player,mpv,26200,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25800,https://github.com/ggreer/the_silver_searcher
ossrs,srs,24400,https://github.com/ossrs/srs
kovidgoyal,kitty,22100,https://github.com/kovidgoyal/kitty
google,flatbuffers,22100,https://github.com/google/flatbuffers
microsoft,vcpkg,21800,https://github.com/microsoft/vcpkg
ruby,ruby,21600,https://github.com/ruby/ruby
hashcat,hashcat,20000,https://github.com/hashcat/hashcat
radareorg,radare2,19700,https://github.com/radareorg/radare2
raysan5,raylib,19400,https://github.com/raysan5/raylib
