username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,46900,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,29100,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,23200,https://github.com/refined-github/refined-github
openai-translator,openai-translator,22900,https://github.com/openai-translator/openai-translator
darkreader,darkreader,18800,https://github.com/darkreader/darkreader
dailydotdev,daily,16700,https://github.com/dailydotdev/daily
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
unbug,codelf,14000,https://github.com/unbug/codelf
gildas-lormeau,SingleFile,14000,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,13400,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12200,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11700,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,11100,https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,10800,https://github.com/alyssaxuu/screenity
AutomaApp,automa,10200,https://github.com/AutomaApp/automa
josStorer,chatGPTBox,9600,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,9500,https://github.com/chathub-dev/chathub
ajayyy,SponsorBlock,8900,https://github.com/ajayyy/SponsorBlock
PlasmoHQ,plasmo,8500,https://github.com/PlasmoHQ/plasmo
