username,repo_name,stars,repo_url
electron,electron,112000,https://github.com/electron/electron
puppeteer,puppeteer,87000,https://github.com/puppeteer/puppeteer
microsoft,playwright,62300,https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,46900,https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,46000,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,29100,https://github.com/jaywcjlove/linux-command
ovity,octotree,22700,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
GoogleChrome,chrome-extensions-samples,14400,https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,14000,https://github.com/gildas-lormeau/SingleFile
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,11900,https://github.com/casesandberg/react-color
crimx,ext-saladict,11700,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11500,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10400,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,10100,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,8900,https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,8600,https://github.com/ultrafunkamsterdam/undetected-chromedriver
