username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,169000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,60300,https://github.com/junegunn/fzf
sherlock-project,sherlock,51700,https://github.com/sherlock-project/sherlock
sharkdp,bat,46900,https://github.com/sharkdp/bat
jesseduffield,lazygit,46200,https://github.com/jesseduffield/lazygit
BurntSushi,ripgrep,45300,https://github.com/BurntSushi/ripgrep
wagoodman,dive,43900,https://github.com/wagoodman/dive
google,zx,41900,https://github.com/google/zx
n8n-io,n8n,41200,https://github.com/n8n-io/n8n
chubin,cheat.sh,37600,https://github.com/chubin/cheat.sh
spf13,cobra,36200,https://github.com/spf13/cobra
cli,cli,35600,https://github.com/cli/cli
httpie,cli,32200,https://github.com/httpie/cli
sharkdp,fd,31900,https://github.com/sharkdp/fd
alebcay,awesome-shell,31400,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,29800,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27900,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27600,https://github.com/tqdm/tqdm
angular,angular-cli,26600,https://github.com/angular/angular-cli
google,python-fire,26400,https://github.com/google/python-fire
