username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,172000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,62900,https://github.com/junegunn/fzf
sherlock-project,sherlock,53200,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,49200,https://github.com/jesseduffield/lazygit
sharkdp,bat,48200,https://github.com/sharkdp/bat
BurntSushi,ripgrep,46900,https://github.com/BurntSushi/ripgrep
wagoodman,dive,44900,https://github.com/wagoodman/dive
n8n-io,n8n,43300,https://github.com/n8n-io/n8n
google,zx,42600,https://github.com/google/zx
chubin,cheat.sh,38000,https://github.com/chubin/cheat.sh
spf13,cobra,37200,https://github.com/spf13/cobra
cli,cli,36300,https://github.com/cli/cli
httpie,cli,33000,https://github.com/httpie/cli
sharkdp,fd,32900,https://github.com/sharkdp/fd
alebcay,awesome-shell,32200,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30500,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,28100,https://github.com/tqdm/tqdm
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
google,python-fire,26700,https://github.com/google/python-fire
angular,angular-cli,26700,https://github.com/angular/angular-cli
