username,repo_name,stars,repo_url
vercel,next.js,121000,https://github.com/vercel/next.js
rust-lang,rust,93600,https://github.com/rust-lang/rust
sveltejs,svelte,76800,https://github.com/sveltejs/svelte
webpack,webpack,64200,https://github.com/webpack/webpack
FuelLabs,sway,63100,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,47700,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43200,https://github.com/parcel-bundler/parcel
babel,babel,43000,https://github.com/babel/babel
evanw,esbuild,37400,https://github.com/evanw/esbuild
vlang,v,35300,https://github.com/vlang/v
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
markedjs,marked,32000,https://github.com/markedjs/marked
ziglang,zig,31100,https://github.com/ziglang/zig
swc-project,swc,30100,https://github.com/swc-project/swc
typst,typst,28700,https://github.com/typst/typst
vercel,pkg,24200,https://github.com/vercel/pkg
v8,v8,22700,https://github.com/v8/v8
oracle,graal,19800,https://github.com/oracle/graal
RustPython,RustPython,17700,https://github.com/RustPython/RustPython
