username,repo_name,stars,repo_url
crystal-lang,crystal,19300,https://github.com/crystal-lang/crystal
kemalcr,kemal,3600,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3300,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
getmango,Mango,1700,https://github.com/getmango/Mango
vitobotta,hetzner-k3s,1600,https://github.com/vitobotta/hetzner-k3s
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,855,https://github.com/drujensen/fib
amethyst-framework,amethyst,649,https://github.com/amethyst-framework/amethyst
hanabi1224,Programming-Language-Benchmarks,623,https://github.com/hanabi1224/Programming-Language-Benchmarks
askn,crystal-by-example,549,https://github.com/askn/crystal-by-example
owasp-noir,noir,544,https://github.com/owasp-noir/noir
crystal-ameba,ameba,511,https://github.com/crystal-ameba/ameba
crystal-community,icr,502,https://github.com/crystal-community/icr
will,crystal-pg,463,https://github.com/will/crystal-pg
elbywan,crystalline,432,https://github.com/elbywan/crystalline
imdrasil,jennifer.cr,416,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,413,https://github.com/vim-crystal/vim-crystal
martenframework,marten,399,https://github.com/martenframework/marten
